type,id,addr,size,len,wstrb
AR,0,0x40000000,64,1,
AR,0,0x40000800,64,1,
AR,0,0x40001000,64,1,
AR,0,0x40001800,64,1,
AR,0,0x40002000,64,1,
AR,0,0x40002800,64,1,
AR,0,0x40003000,64,1,
AR,0,0x40003800,64,1,
AR,0,0x40004000,64,1,
AR,0,0x40004800,64,1,
AR,0,0x40005000,64,1,
AR,0,0x40005800,64,1,
AR,0,0x40006000,64,1,
AR,0,0x40006800,64,1,
AR,0,0x40007000,64,1,
AR,0,0x40007800,64,1,
AR,0,0x40008000,64,1,
AR,0,0x40008800,64,1,
AR,0,0x40009000,64,1,
AR,0,0x40009800,64,1,
AR,0,0x4000A000,64,1,
AR,0,0x4000A800,64,1,
AR,0,0x4000B000,64,1,
AR,0,0x4000B800,64,1,
AR,0,0x4000C000,64,1,
AR,0,0x4000C800,64,1,
AR,0,0x4000D000,64,1,
AR,0,0x4000D800,64,1,
AR,0,0x4000E000,64,1,
AR,0,0x4000E800,64,1,
AR,0,0x4000F000,64,1,
AR,0,0x4000F800,64,1,
AR,0,0x40010000,64,1,
AR,0,0x40010800,64,1,
AR,0,0x40011000,64,1,
AR,0,0x40011800,64,1,
AR,0,0x40012000,64,1,
AR,0,0x40012800,64,1,
AR,0,0x40013000,64,1,
AR,0,0x40013800,64,1,
AR,0,0x40014000,64,1,
AR,0,0x40014800,64,1,
AR,0,0x40015000,64,1,
AR,0,0x40015800,64,1,
AR,0,0x40016000,64,1,
AR,0,0x40016800,64,1,
AR,0,0x40017000,64,1,
AR,0,0x40017800,64,1,
AR,0,0x40018000,64,1,
AR,0,0x40018800,64,1,
AR,0,0x40019000,64,1,
AR,0,0x40019800,64,1,
AR,0,0x4001A000,64,1,
AR,0,0x4001A800,64,1,
AR,0,0x4001B000,64,1,
AR,0,0x4001B800,64,1,
AR,0,0x4001C000,64,1,
AR,0,0x4001C800,64,1,
AR,0,0x4001D000,64,1,
AR,0,0x4001D800,64,1,
AR,0,0x4001E000,64,1,
AR,0,0x4001E800,64,1,
AR,0,0x4001F000,64,1,
AR,0,0x4001F800,64,1,
AR,0,0x40020000,64,1,
AR,0,0x40020800,64,1,
AR,0,0x40021000,64,1,
AR,0,0x40021800,64,1,
AR,0,0x40022000,64,1,
AR,0,0x40022800,64,1,
AR,0,0x40023000,64,1,
AR,0,0x40023800,64,1,
AR,0,0x40024000,64,1,
AR,0,0x40024800,64,1,
AR,0,0x40025000,64,1,
AR,0,0x40025800,64,1,
AR,0,0x40026000,64,1,
AR,0,0x40026800,64,1,
