type,id,addr,size,len,wstrb
AR,1,0x0,64,64,
AR,1,0x1000,64,64,
AR,1,0x2000,64,64,
AR,1,0x3000,64,64,
AR,1,0x4000,64,64,
AR,1,0x5000,64,64,
AR,1,0x6000,64,64,
AR,1,0x7000,64,64,
AR,1,0x8000,64,64,
AR,1,0x9000,64,64,
AR,1,0xA000,64,64,
AR,1,0xB000,64,64,
AR,1,0xC000,64,64,
AR,1,0xD000,64,64,
AR,1,0xE000,64,64,
AR,1,0xF000,64,64,
AR,1,0x10000,64,64,
AR,1,0x11000,64,64,
AR,1,0x12000,64,64,
AR,1,0x13000,64,64,
AR,1,0x14000,64,64,
AR,1,0x15000,64,64,
AR,1,0x16000,64,64,
AR,1,0x17000,64,64,
AR,1,0x18000,64,64,
AR,1,0x19000,64,64,
AR,1,0x1A000,64,64,
AR,1,0x1B000,64,64,
AR,1,0x1C000,64,64,
AR,1,0x1D000,64,64,
AR,1,0x1E000,64,64,
AR,1,0x1F000,64,64,
AR,1,0x20000,64,64,
AR,1,0x21000,64,64,
AR,1,0x22000,64,64,
AR,1,0x23000,64,64,
AR,1,0x24000,64,64,
AR,1,0x25000,64,64,
AR,1,0x26000,64,64,
AR,1,0x27000,64,64,
AR,1,0x28000,64,64,
AR,1,0x29000,64,64,
AR,1,0x2A000,64,64,
AR,1,0x2B000,64,64,
AR,1,0x2C000,64,64,
AR,1,0x2D000,64,64,
AR,1,0x2E000,64,64,
AR,1,0x2F000,64,64,
AR,1,0x30000,64,64,
AR,1,0x31000,64,64,
AR,1,0x32000,64,64,
AR,1,0x33000,64,64,
AR,1,0x34000,64,64,
AR,1,0x35000,64,64,
AR,1,0x36000,64,64,
AR,1,0x37000,64,64,
AR,1,0x38000,64,64,
AR,1,0x39000,64,64,
AR,1,0x3A000,64,64,
AR,1,0x3B000,64,64,
AR,1,0x3C000,64,64,
AR,1,0x3D000,64,64,
AR,1,0x3E000,64,64,
AR,1,0x3F000,64,64,
BARRIER
AR,1,0x100000,64,64,
AR,1,0x101000,64,64,
AR,1,0x102000,64,64,
AR,1,0x103000,64,64,
AR,1,0x104000,64,64,
AR,1,0x105000,64,64,
AR,1,0x106000,64,64,
AR,1,0x107000,64,64,
AR,1,0x108000,64,64,
AR,1,0x109000,64,64,
AR,1,0x10A000,64,64,
AR,1,0x10B000,64,64,
AR,1,0x10C000,64,64,
AR,1,0x10D000,64,64,
AR,1,0x10E000,64,64,
AR,1,0x10F000,64,64,
AR,1,0x110000,64,64,
AR,1,0x111000,64,64,
AR,1,0x112000,64,64,
AR,1,0x113000,64,64,
AR,1,0x114000,64,64,
AR,1,0x115000,64,64,
AR,1,0x116000,64,64,
AR,1,0x117000,64,64,
AR,1,0x118000,64,64,
AR,1,0x119000,64,64,
AR,1,0x11A000,64,64,
AR,1,0x11B000,64,64,
AR,1,0x11C000,64,64,
AR,1,0x11D000,64,64,
AR,1,0x11E000,64,64,
AR,1,0x11F000,64,64,
AR,1,0x120000,64,64,
AR,1,0x121000,64,64,
AR,1,0x122000,64,64,
AR,1,0x123000,64,64,
AR,1,0x124000,64,64,
AR,1,0x125000,64,64,
AR,1,0x126000,64,64,
AR,1,0x127000,64,64,
AR,1,0x128000,64,64,
AR,1,0x129000,64,64,
AR,1,0x12A000,64,64,
AR,1,0x12B000,64,64,
AR,1,0x12C000,64,64,
AR,1,0x12D000,64,64,
AR,1,0x12E000,64,64,
AR,1,0x12F000,64,64,
AR,1,0x130000,64,64,
AR,1,0x131000,64,64,
AR,1,0x132000,64,64,
AR,1,0x133000,64,64,
AR,1,0x134000,64,64,
AR,1,0x135000,64,64,
AR,1,0x136000,64,64,
AR,1,0x137000,64,64,
AR,1,0x138000,64,64,
AR,1,0x139000,64,64,
AR,1,0x13A000,64,64,
AR,1,0x13B000,64,64,
AR,1,0x13C000,64,64,
AR,1,0x13D000,64,64,
AR,1,0x13E000,64,64,
AR,1,0x13F000,64,64,
BARRIER
AR,1,0x200000,64,64,
AR,1,0x201000,64,64,
AR,1,0x202000,64,64,
AR,1,0x203000,64,64,
AR,1,0x204000,64,64,
AR,1,0x205000,64,64,
AR,1,0x206000,64,64,
AR,1,0x207000,64,64,
AR,1,0x208000,64,64,
AR,1,0x209000,64,64,
AR,1,0x20A000,64,64,
AR,1,0x20B000,64,64,
AR,1,0x20C000,64,64,
AR,1,0x20D000,64,64,
AR,1,0x20E000,64,64,
AR,1,0x20F000,64,64,
AR,1,0x210000,64,64,
AR,1,0x211000,64,64,
AR,1,0x212000,64,64,
AR,1,0x213000,64,64,
AR,1,0x214000,64,64,
AR,1,0x215000,64,64,
