type,id,addr,size,len,wstrb
AR,0,0x40000000,64,1,
AR,0,0x40000040,64,1,
AR,0,0x40000080,64,1,
AR,0,0x400000C0,64,1,
AR,0,0x40000100,64,1,
AR,0,0x40000140,64,1,
AR,0,0x40000180,64,1,
AR,0,0x400001C0,64,1,
AR,0,0x40000200,64,1,
AR,0,0x40000240,64,1,
AR,0,0x40000280,64,1,
AR,0,0x400002C0,64,1,
AR,0,0x40000300,64,1,
AR,0,0x40000340,64,1,
AR,0,0x40000380,64,1,
AR,0,0x400003C0,64,1,
AR,0,0x40000400,64,1,
AR,0,0x40000440,64,1,
AR,0,0x40000480,64,1,
AR,0,0x400004C0,64,1,
AR,0,0x40000500,64,1,
AR,0,0x40000540,64,1,
AR,0,0x40000580,64,1,
AR,0,0x400005C0,64,1,
AR,0,0x40000600,64,1,
AR,0,0x40000640,64,1,
AR,0,0x40000680,64,1,
AR,0,0x400006C0,64,1,
AR,0,0x40000700,64,1,
AR,0,0x40000740,64,1,
AR,0,0x40000780,64,1,
AR,0,0x400007C0,64,1,
AR,0,0x40000800,64,1,
AR,0,0x40000840,64,1,
AR,0,0x40000880,64,1,
AR,0,0x400008C0,64,1,
AR,0,0x40000900,64,1,
AR,0,0x40000940,64,1,
AR,0,0x40000980,64,1,
AR,0,0x400009C0,64,1,
AR,0,0x40000A00,64,1,
AR,0,0x40000A40,64,1,
AR,0,0x40000A80,64,1,
AR,0,0x40000AC0,64,1,
AR,0,0x40000B00,64,1,
AR,0,0x40000B40,64,1,
AR,0,0x40000B80,64,1,
AR,0,0x40000BC0,64,1,
AR,0,0x40000C00,64,1,
AR,0,0x40000C40,64,1,
AR,0,0x40000C80,64,1,
AR,0,0x40000CC0,64,1,
AR,0,0x40000D00,64,1,
AR,0,0x40000D40,64,1,
AR,0,0x40000D80,64,1,
AR,0,0x40000DC0,64,1,
AR,0,0x40000E00,64,1,
AR,0,0x40000E40,64,1,
AR,0,0x40000E80,64,1,
AR,0,0x40000EC0,64,1,
AR,0,0x40000F00,64,1,
AR,0,0x40000F40,64,1,
AR,0,0x40000F80,64,1,
AR,0,0x40000FC0,64,1,
