type,id,addr,size,len,wstrb
AR,0,0x10000000,64,1,
AR,0,0x10000040,64,1,
AR,0,0x10000080,64,1,
AR,0,0x100000C0,64,1,
AR,0,0x10000100,64,1,
AR,0,0x10000140,64,1,
AR,0,0x10000180,64,1,
AR,0,0x100001C0,64,1,
AR,0,0x10000200,64,1,
AR,0,0x10000240,64,1,
AR,0,0x10000280,64,1,
AR,0,0x100002C0,64,1,
AR,0,0x10000300,64,1,
AR,0,0x10000340,64,1,
AR,0,0x10000380,64,1,
AR,0,0x100003C0,64,1,
AR,0,0x10000400,64,1,
AR,0,0x10000440,64,1,
AR,0,0x10000480,64,1,
AR,0,0x100004C0,64,1,
AR,0,0x10000500,64,1,
AR,0,0x10000540,64,1,
AR,0,0x10000580,64,1,
AR,0,0x100005C0,64,1,
AR,0,0x10000600,64,1,
AR,0,0x10000640,64,1,
AR,0,0x10000680,64,1,
AR,0,0x100006C0,64,1,
AR,0,0x10000700,64,1,
AR,0,0x10000740,64,1,
AR,0,0x10000780,64,1,
AR,0,0x100007C0,64,1,
AR,0,0x10000800,64,1,
AR,0,0x10000840,64,1,
AR,0,0x10000880,64,1,
AR,0,0x100008C0,64,1,
AR,0,0x10000900,64,1,
AR,0,0x10000940,64,1,
AR,0,0x10000980,64,1,
AR,0,0x100009C0,64,1,
AR,0,0x10000A00,64,1,
AR,0,0x10000A40,64,1,
AR,0,0x10000A80,64,1,
AR,0,0x10000AC0,64,1,
AR,0,0x10000B00,64,1,
AR,0,0x10000B40,64,1,
AR,0,0x10000B80,64,1,
AR,0,0x10000BC0,64,1,
AR,0,0x10000C00,64,1,
AR,0,0x10000C40,64,1,
AR,0,0x10000C80,64,1,
AR,0,0x10000CC0,64,1,
AR,0,0x10000D00,64,1,
AR,0,0x10000D40,64,1,
AR,0,0x10000D80,64,1,
AR,0,0x10000DC0,64,1,
AR,0,0x10000E00,64,1,
AR,0,0x10000E40,64,1,
AR,0,0x10000E80,64,1,
AR,0,0x10000EC0,64,1,
AR,0,0x10000F00,64,1,
AR,0,0x10000F40,64,1,
AR,0,0x10000F80,64,1,
AR,0,0x10000FC0,64,1,
AR,0,0x10001000,64,1,
AR,0,0x10001040,64,1,
AR,0,0x10001080,64,1,
AR,0,0x100010C0,64,1,
AR,0,0x10001100,64,1,
AR,0,0x10001140,64,1,
AR,0,0x10001180,64,1,
AR,0,0x100011C0,64,1,
AR,0,0x10001200,64,1,
AR,0,0x10001240,64,1,
AR,0,0x10001280,64,1,
AR,0,0x100012C0,64,1,
AR,0,0x10001300,64,1,
AR,0,0x10001340,64,1,
AR,0,0x10001380,64,1,
AR,0,0x100013C0,64,1,
AR,0,0x10001400,64,1,
AR,0,0x10001440,64,1,
AR,0,0x10001480,64,1,
AR,0,0x100014C0,64,1,
AR,0,0x10001500,64,1,
AR,0,0x10001540,64,1,
AR,0,0x10001580,64,1,
AR,0,0x100015C0,64,1,
AR,0,0x10001600,64,1,
AR,0,0x10001640,64,1,
AR,0,0x10001680,64,1,
AR,0,0x100016C0,64,1,
AR,0,0x10001700,64,1,
AR,0,0x10001740,64,1,
AR,0,0x10001780,64,1,
AR,0,0x100017C0,64,1,
AR,0,0x10001800,64,1,
AR,0,0x10001840,64,1,
AR,0,0x10001880,64,1,
AR,0,0x100018C0,64,1,
AR,0,0x10001900,64,1,
AR,0,0x10001940,64,1,
AR,0,0x10001980,64,1,
AR,0,0x100019C0,64,1,
AR,0,0x10001A00,64,1,
AR,0,0x10001A40,64,1,
AR,0,0x10001A80,64,1,
AR,0,0x10001AC0,64,1,
AR,0,0x10001B00,64,1,
AR,0,0x10001B40,64,1,
AR,0,0x10001B80,64,1,
AR,0,0x10001BC0,64,1,
AR,0,0x10001C00,64,1,
AR,0,0x10001C40,64,1,
AR,0,0x10001C80,64,1,
AR,0,0x10001CC0,64,1,
AR,0,0x10001D00,64,1,
AR,0,0x10001D40,64,1,
AR,0,0x10001D80,64,1,
AR,0,0x10001DC0,64,1,
AR,0,0x10001E00,64,1,
AR,0,0x10001E40,64,1,
AR,0,0x10001E80,64,1,
AR,0,0x10001EC0,64,1,
AR,0,0x10001F00,64,1,
AR,0,0x10001F40,64,1,
AR,0,0x10001F80,64,1,
AR,0,0x10001FC0,64,1,
AR,0,0x10002000,64,1,
AR,0,0x10002040,64,1,
AR,0,0x10002080,64,1,
AR,0,0x100020C0,64,1,
AR,0,0x10002100,64,1,
AR,0,0x10002140,64,1,
AR,0,0x10002180,64,1,
AR,0,0x100021C0,64,1,
AR,0,0x10002200,64,1,
AR,0,0x10002240,64,1,
AR,0,0x10002280,64,1,
AR,0,0x100022C0,64,1,
AR,0,0x10002300,64,1,
AR,0,0x10002340,64,1,
AR,0,0x10002380,64,1,
AR,0,0x100023C0,64,1,
AR,0,0x10002400,64,1,
AR,0,0x10002440,64,1,
AR,0,0x10002480,64,1,
AR,0,0x100024C0,64,1,
AR,0,0x10002500,64,1,
AR,0,0x10002540,64,1,
AR,0,0x10002580,64,1,
AR,0,0x100025C0,64,1,
AR,0,0x10002600,64,1,
