window_index,start_ns,bytes_read,bytes_written,dram_bytes,txn_count,hits,conflicts,empties,avg_bandwidth_gbps,outstanding_high_water,outstanding_occupancy_pct,active_bank_count,bank_utilization_pct,ch0_dram_bytes,ch0_avg_bandwidth_gbps,ch1_dram_bytes,ch1_avg_bandwidth_gbps
0,0,5120,0,5120,80,76,2,2,17.0667,8,100,2,6.25,2560,8.53333,2560,8.53333
1,300,4864,0,4864,76,74,2,0,16.2133,8,100,2,6.25,2432,8.10667,2432,8.10667
2,600,4864,0,4864,76,74,2,0,16.2133,8,100,2,6.25,2432,8.10667,2432,8.10667
3,900,4864,0,4864,76,74,2,0,16.2133,8,100,2,6.25,2432,8.10667,2432,8.10667
4,1200,4864,0,4864,76,74,2,0,16.2133,8,100,2,6.25,2432,8.10667,2432,8.10667
5,1500,3072,0,3072,48,45,3,0,10.24,8,100,2,6.25,2560,8.53333,512,1.70667
6,1800,2304,0,2304,36,35,1,0,7.68,8,100,1,3.125,2304,7.68,0,0
7,2100,2432,0,2432,38,37,1,0,8.10667,8,100,1,3.125,2432,8.10667,0,0
8,2400,2432,0,2432,38,37,1,0,8.10667,8,100,1,3.125,2432,8.10667,0,0
9,2700,2432,0,2432,38,37,1,0,8.10667,8,100,1,3.125,2432,8.10667,0,0
10,3000,2368,0,2368,37,35,2,0,7.89333,8,100,1,3.125,2368,7.89333,0,0
11,3300,2368,0,2368,37,36,1,0,7.89333,8,100,1,3.125,2368,7.89333,0,0
12,3600,2240,0,2240,35,34,1,0,7.46667,8,100,1,3.125,2240,7.46667,0,0
13,3900,2432,0,2432,38,37,1,0,8.10667,8,100,1,3.125,2432,8.10667,0,0
14,4200,2432,0,2432,38,37,1,0,8.10667,8,100,1,3.125,2432,8.10667,0,0
15,4500,2112,0,2112,33,32,1,0,7.04,8,100,1,3.125,2112,7.04,0,0
